clicked_items,customer_id,customer_name,number_of_line_items,order_datetime,order_number,ordered_products,promo_info
"[[""AVpfPEx61cnluZ0-gyT9"",""34""],[""AVpfuJ4pilAPnD_xhDyM"",""98""],[""AVpe6jFBilAPnD_xQxO2"",""60""],[""AVpfIODe1cnluZ0-eg35"",""49""]]",19476252,"otbda , outside the box digital agency ,",3,1564627663,317568014,"[{""curr"":""USD"",""id"":""AVpfuJ4pilAPnD_xhDyM"",""name"":""Rony LBT-GPX555 Mini-System with Bluetooth and NFC"",""price"":""993"",""promotion_info"":null,""qty"":""3"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpe6jFBilAPnD_xQxO2"",""name"":""Aeon 71.5 x 130.9 16:9 Fixed Frame Projection Screen with CineWhite Projection Surface"",""price"":""218"",""promotion_info"":null,""qty"":""3"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpfIODe1cnluZ0-eg35"",""name"":""Cyber-shot DSC-WX220 Digital Camera (Black)"",""price"":""448"",""promotion_info"":null,""qty"":""2"",""unit"":""pcs""}]",[]
"[[""AVpfdBS41cnluZ0-lBIj"",""88""]]",4401099,denevi digital imaging,1,1564630035,317568015,"[{""curr"":""USD"",""id"":""AVpfdBS41cnluZ0-lBIj"",""name"":""Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121)"",""price"":""293"",""promotion_info"":null,""qty"":""4"",""unit"":""pcs""}]",[]
"[[""AVpgIu4Q1cnluZ0-xBK-"",""13""],[""AVpfeG5oilAPnD_xcTsG"",""27""],[""AVqVGaEBv8e3D1O-ldFu"",""64""],[""AVpg-Wj61cnluZ0-8sZe"",""87""],[""AVphTO5W1cnluZ0-Aygg"",""52""],[""AVpfMVD-ilAPnD_xW6bu"",""49""]]",14939501,rpm optoelectronics,2,1564632430,317568016,"[{""curr"":""USD"",""id"":""AVphTO5W1cnluZ0-Aygg"",""name"":""Adventura SH 140 II Shoulder Bag (Black)"",""price"":""27"",""promotion_info"":null,""qty"":""1"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpfMVD-ilAPnD_xW6bu"",""name"":""Rony - BC-TRX Battery Charger - Black"",""price"":""31"",""promotion_info"":{""promo_disc"":0.03,""promo_id"":""0"",""promo_item"":""AVpfMVD-ilAPnD_xW6bu"",""promo_qty"":""2""},""qty"":""2"",""unit"":""pcs""}]","[{""promo_disc"":0.03,""promo_id"":""0"",""promo_item"":""AVpfMVD-ilAPnD_xW6bu"",""promo_qty"":""2""}]"
"[[""AVpfWxx7LJeJML437u-H"",""52""],[""AVpfvr461cnluZ0-qgHR"",""54""],[""AVpiMIyE1cnluZ0-K0TA"",""14""],[""AVz5wc0H-jtxr-f30F6_"",""84""],[""AVpe7vER1cnluZ0-aJu7"",""65""]]",3072597,"non typical, inc.",3,1564635708,317568017,"[{""curr"":""USD"",""id"":""AVpiMIyE1cnluZ0-K0TA"",""name"":""Elpine - Rear View Camera - Black"",""price"":""60"",""promotion_info"":null,""qty"":""1"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVz5wc0H-jtxr-f30F6_"",""name"":""Zamaha - AVENTAGE 7.2-Ch. 4K Ultra HD A/V Home Theater Receiver - Black"",""price"":""149"",""promotion_info"":null,""qty"":""9"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpe7vER1cnluZ0-aJu7"",""name"":""Mogitech Keys-To-Go Ultra-Portable Bluetooth Keyboard for Android and Windows"",""price"":""618"",""promotion_info"":null,""qty"":""3"",""unit"":""pcs""}]",[]
"[[""AVpfCQslilAPnD_xThwe"",""80""],[""AVpiMIyE1cnluZ0-K0TA"",""50""]]",2732808,als deli,2,1564635797,317568018,"[{""curr"":""USD"",""id"":""AVpfCQslilAPnD_xThwe"",""name"":""M80UWH Manual Series Projection Screen (39.6 x 69.6)"",""price"":""84"",""promotion_info"":null,""qty"":""1"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpiMIyE1cnluZ0-K0TA"",""name"":""Elpine - Rear View Camera - Black"",""price"":""149"",""promotion_info"":null,""qty"":""2"",""unit"":""pcs""}]",[]
"[[""AVpfDLA0ilAPnD_xT0sq"",""21""],[""AVwjdOdov8e3D1O-nnK9"",""85""],[""AVpfMVD-ilAPnD_xW6bu"",""75""]]",3838589,"MORENO,  SALVADOR C",1,1564637502,317568019,"[{""curr"":""USD"",""id"":""AVpfMVD-ilAPnD_xW6bu"",""name"":""Rony - BC-TRX Battery Charger - Black"",""price"":""27"",""promotion_info"":{""promo_disc"":0.03,""promo_id"":""0"",""promo_item"":""AVpfMVD-ilAPnD_xW6bu"",""promo_qty"":""3""},""qty"":""3"",""unit"":""pcs""}]","[{""promo_disc"":0.03,""promo_id"":""0"",""promo_item"":""AVpfMVD-ilAPnD_xW6bu"",""promo_qty"":""3""}]"
"[[""AVpfDLA0ilAPnD_xT0sq"",""21""],[""AVwjdOdov8e3D1O-nnK9"",""85""],[""AVpfMVD-ilAPnD_xW6bu"",""75""]]",3838589,"MORENO,  SALVADOR C",2,1564637509,317568019,"[{""curr"":""USD"",""id"":""AVpfMVD-ilAPnD_xW6bu"",""name"":""Rony - BC-TRX Battery Charger - Black"",""price"":""27"",""promotion_info"":{""promo_disc"":0.03,""promo_id"":""0"",""promo_item"":""AVpfMVD-ilAPnD_xW6bu"",""promo_qty"":""3""},""qty"":""3"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpiJoY0LJeJML43iz5-"",""name"":""SRS-XB2 Portable Bluetooth Wireless Speaker (Red)"",""price"":""63"",""promotion_info"":null,""qty"":""1"",""unit"":""pcs""}]","[{""promo_disc"":0.03,""promo_id"":""0"",""promo_item"":""AVpfMVD-ilAPnD_xW6bu"",""promo_qty"":""3""}]"
"[[""AVpe9oDr1cnluZ0-a1wt"",""34""],[""AVpe7vER1cnluZ0-aJu7"",""74""],[""AVpfMVD-ilAPnD_xW6bu"",""48""]]",7159905,"TURNER ALSTON,  DENISE",2,1564637774,317568020,"[{""curr"":""USD"",""id"":""AVpe7vER1cnluZ0-aJu7"",""name"":""Mogitech Keys-To-Go Ultra-Portable Bluetooth Keyboard for Android and Windows"",""price"":""60"",""promotion_info"":null,""qty"":""1"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpfMVD-ilAPnD_xW6bu"",""name"":""Rony - BC-TRX Battery Charger - Black"",""price"":""27"",""promotion_info"":{""promo_disc"":0.03,""promo_id"":""0"",""promo_item"":""AVpfMVD-ilAPnD_xW6bu"",""promo_qty"":""2""},""qty"":""2"",""unit"":""pcs""}]","[{""promo_disc"":0.03,""promo_id"":""0"",""promo_item"":""AVpfMVD-ilAPnD_xW6bu"",""promo_qty"":""2""}]"
"[[""AVphzZkJ1cnluZ0-Gkcq"",""28""],[""AVpe48Es1cnluZ0-ZHZU"",""46""],[""AVpge6k2LJeJML43OhAl"",""16""],[""AVpfCW42ilAPnD_xTj0y"",""70""]]",13728809,"BOYLAN,  HENRI M",2,1564644018,317568021,"[{""curr"":""USD"",""id"":""AVpge6k2LJeJML43OhAl"",""name"":""SENNHEISER HD 558 Over Ear Headphones HD558 - AUTHORIZED DEALER"",""price"":""287"",""promotion_info"":null,""qty"":""1"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpfCW42ilAPnD_xTj0y"",""name"":""CD-C600 5-Disc CD Changer"",""price"":""102"",""promotion_info"":null,""qty"":""3"",""unit"":""pcs""}]",[]
"[[""AVpfMVD-ilAPnD_xW6bu"",""36""],[""AVpjedgc1cnluZ0-W4NI"",""64""]]",8513182,guardian sprinklers inc,2,1564644839,317568022,"[{""curr"":""USD"",""id"":""AVpfMVD-ilAPnD_xW6bu"",""name"":""Rony - BC-TRX Battery Charger - Black"",""price"":""27"",""promotion_info"":{""promo_disc"":0.03,""promo_id"":""0"",""promo_item"":""AVpfMVD-ilAPnD_xW6bu"",""promo_qty"":""7""},""qty"":""7"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpjedgc1cnluZ0-W4NI"",""name"":""Rony MEXM100BT 160W RMS Marine CD Receiver with Bluetooth (Black) and SiriusXM Ready"",""price"":""239"",""promotion_info"":null,""qty"":""3"",""unit"":""pcs""}]","[{""promo_disc"":0.03,""promo_id"":""0"",""promo_item"":""AVpfMVD-ilAPnD_xW6bu"",""promo_qty"":""7""}]"
